timestamp	asset_composition	asset_amounts	total_portfolio_value	pnl	return	apr	net_gain_vs_hold	capital_used_in_trading	total_capital_locked	lp_fees_earned	trading_fees_paid	gas_fees_paid	max_drawdown	max_gain	impermanent_loss	asset_exposure	rebalancing_actions	notes
1746057600000	cbBTC,USDC	0.05168056,5123.50	10000.00	0.00	0.000000	0.00	0.000000	10000.00	10000.00	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00	0	Start
1746061200000	cbBTC,USDC	0.05168056,5123.50	10015.09	15.09	0.150948	10.78	-0.129928	10014.85	10014.85	0.246109	0.000000	0.000000	0.000000	0.150948	-0.000116	0.00	0	
1746064800000	cbBTC,USDC	0.05168056,5123.50	10024.37	24.37	0.243655	11.84	-0.201342	10023.96	10023.96	0.405436	0.000000	0.000000	0.092482	0.243655	-0.000300	0.00	0	
1746068400000	cbBTC,USDC	0.05168056,5123.50	10021.99	21.99	0.219939	12.38	0.022555	10021.43	10021.43	0.565225	0.000000	0.000000	0.092482	0.243655	-0.000240	0.00	0	
1746072000000	cbBTC,USDC	0.05168056,5123.50	10028.74	28.74	0.287437	11.62	-0.047743	10028.08	10028.08	0.663379	0.000000	0.000000	0.136098	0.287437	-0.000412	0.00	0	
1746075600000	cbBTC,USDC	0.05168056,5123.50	10039.89	39.89	0.398893	11.56	-0.198392	10039.10	10039.10	0.791735	0.000000	0.000000	0.246959	0.398893	-0.000797	0.00	0	
1746079200000	cbBTC,USDC	0.05168056,5123.50	10027.22	27.22	0.272167	9.99	0.129486	10026.42	10026.42	0.798514	0.000000	0.000000	0.246959	0.398893	-0.000365	0.00	0	
1746082800000	cbBTC,USDC	0.05168056,5123.50	10035.43	35.43	0.354340	9.74	0.014601	10034.54	10034.54	0.889426	0.000000	0.000000	0.246959	0.398893	-0.000623	0.00	0	
1746086400000	cbBTC,USDC	0.05168056,5123.50	10042.86	42.86	0.428612	9.85	-0.047729	10041.85	10041.85	1.012080	0.000000	0.000000	0.276479	0.428612	-0.000913	0.00	0	
1746090000000	cbBTC,USDC	0.05168056,5123.50	10065.32	65.32	0.653188	12.39	-0.203443	10063.90	10063.90	1.414893	0.000000	0.000000	0.498980	0.653188	-0.002119	0.00	0	
1746093600000	cbBTC,USDC	0.05168056,5123.50	10095.39	95.39	0.953851	17.46	-0.168219	10093.19	10093.19	2.191855	0.000000	0.000000	0.795316	0.953851	-0.004479	0.00	0	
1746097200000	cbBTC,USDC	0.05168056,5123.50	10098.74	98.74	0.987423	17.71	-0.013095	10096.32	10096.32	2.426069	0.000000	0.000000	0.828296	0.987423	-0.004782	0.00	0	
1746100800000	cbBTC,USDC	0.05168056,5123.50	10106.32	106.32	1.063169	18.18	0.074094	10103.62	10103.62	2.698188	0.000000	0.000000	0.902624	1.063169	-0.005526	0.00	0	
1746104400000	cbBTC,USDC	0.05168056,5123.50	10081.18	81.18	0.811805	20.10	1.238033	10077.97	10077.97	3.212533	0.000000	0.000000	0.902624	1.063169	-0.003145	0.00	0	
1746108000000	cbBTC,USDC	0.05168056,5123.50	10133.84	133.84	1.338352	24.62	0.933578	10129.62	10129.62	4.216120	0.000000	0.000000	1.171722	1.338352	-0.008602	0.00	0	
1746111600000	cbBTC,USDC	0.05168056,5123.50	10138.92	138.92	1.389236	27.61	1.653073	10133.88	10133.88	5.043523	0.000000	0.000000	1.221321	1.389236	-0.009169	0.00	0	
1746115200000	cbBTC,USDC	0.05168056,5123.50	10146.73	146.73	1.467303	29.02	2.059420	10141.10	10141.10	5.632651	0.000000	0.000000	1.297319	1.467303	-0.010169	0.00	0	
1746118800000	cbBTC,USDC	0.05168056,5123.50	10132.32	132.32	1.323159	30.11	2.993748	10126.13	10126.13	6.187881	0.000000	0.000000	1.297319	1.467303	-0.008150	0.00	0	
1746122400000	cbBTC,USDC	0.05168056,5123.50	10138.11	138.11	1.381135	30.55	3.297089	10131.49	10131.49	6.626924	0.000000	0.000000	1.297319	1.467303	-0.008848	0.00	0	
1746126000000	cbBTC,USDC	0.05168056,5123.50	10121.68	121.68	1.216804	31.00	4.174521	10114.60	10114.60	7.076802	0.000000	0.000000	1.297319	1.467303	-0.006745	0.00	0	
1746129600000	cbBTC,USDC	0.05168056,5123.50	10116.14	116.14	1.161381	31.80	4.874823	10108.52	10108.52	7.622918	0.000000	0.000000	1.297319	1.467303	-0.006054	0.00	0	
1746133200000	cbBTC,USDC	0.05168056,5123.50	10121.70	121.70	1.216958	32.01	5.161416	10113.66	10113.66	8.039703	0.000000	0.000000	1.297319	1.467303	-0.006635	0.00	0	
1746136800000	cbBTC,USDC	0.05168056,5123.50	10116.15	116.15	1.161531	31.15	5.444827	10107.97	10107.97	8.179213	0.000000	0.000000	1.297319	1.467303	-0.005995	0.00	0	
1746140400000	cbBTC,USDC	0.05168056,5123.50	10118.19	118.19	1.181931	30.97	5.707603	10109.71	10109.71	8.485886	0.000000	0.000000	1.297319	1.467303	-0.006187	0.00	0	
1746144000000	cbBTC,USDC	0.05168056,5123.50	10145.80	145.80	1.457960	31.42	5.502180	10136.83	10136.83	8.967301	0.000000	0.000000	1.297319	1.467303	-0.009571	0.00	0	
1746147600000	cbBTC,USDC	0.05168056,5123.50	10146.14	146.14	1.461421	30.73	5.649283	10137.02	10137.02	9.119321	0.000000	0.000000	1.297319	1.467303	-0.009598	0.00	0	
1746151200000	cbBTC,USDC	0.05168056,5123.50	10147.21	147.21	1.472091	30.04	5.765559	10137.95	10137.95	9.259078	0.000000	0.000000	1.301976	1.472091	-0.009727	0.00	0	
1746154800000	cbBTC,USDC	0.05168056,5123.50	10155.22	155.22	1.552186	29.31	5.675843	10145.85	10145.85	9.369405	0.000000	0.000000	1.379821	1.552186	-0.010855	0.00	0	
1746158400000	cbBTC,USDC	0.05168056,5123.50	10144.70	144.70	1.446985	28.46	5.996925	10135.28	10135.28	9.422720	0.000000	0.000000	1.379821	1.552186	-0.009358	0.00	0	
1746162000000	cbBTC,USDC	0.05168056,5123.50	10130.33	130.33	1.303308	27.65	6.408493	10120.86	10120.86	9.469254	0.000000	0.000000	1.379821	1.552186	-0.007492	0.00	0	
1746165600000	cbBTC,USDC	0.05168056,5123.50	10130.66	130.66	1.306616	27.10	6.522646	10121.07	10121.07	9.588759	0.000000	0.000000	1.379821	1.552186	-0.007518	0.00	0	
1746169200000	cbBTC,USDC	0.05168056,5123.50	10114.79	114.79	1.147903	26.61	7.060450	10105.07	10105.07	9.721274	0.000000	0.000000	1.379821	1.552186	-0.005680	0.00	0	
1746172800000	cbBTC,USDC	0.05168056,5123.50	10129.38	129.38	1.293775	26.44	6.934684	10119.42	10119.42	9.958905	0.000000	0.000000	1.379821	1.552186	-0.007316	0.00	0	
1746176400000	cbBTC,USDC	0.05168056,5123.50	10128.02	128.02	1.280153	25.96	7.087674	10117.94	10117.94	10.074470	0.000000	0.000000	1.379821	1.552186	-0.007138	0.00	0	
1746180000000	cbBTC,USDC	0.05168056,5123.50	10140.35	140.35	1.403486	25.58	6.922979	10130.13	10130.13	10.218464	0.000000	0.000000	1.379821	1.552186	-0.008669	0.00	0	
1746183600000	cbBTC,USDC	0.05168056,5123.50	10146.64	146.64	1.466375	25.09	6.860407	10136.32	10136.32	10.312765	0.000000	0.000000	1.379821	1.552186	-0.009502	0.00	0	
1746187200000	cbBTC,USDC	0.05168056,5123.50	10156.23	156.23	1.562275	25.31	7.006515	10145.54	10145.54	10.692130	0.000000	0.000000	1.389617	1.562275	-0.010809	0.00	0	
1746190800000	cbBTC,USDC	0.05168056,5123.50	10136.53	136.53	1.365266	25.22	7.760134	10125.59	10125.59	10.940542	0.000000	0.000000	1.389617	1.562275	-0.008081	0.00	0	
1746194400000	cbBTC,USDC	0.05168056,5123.50	10190.71	190.71	1.907067	26.40	7.220443	10178.95	10178.95	11.752377	0.000000	0.000000	1.723255	1.907067	-0.016234	0.00	0	
1746198000000	cbBTC,USDC	0.05168056,5123.50	10168.90	168.90	1.689011	26.35	8.060676	10156.87	10156.87	12.033279	0.000000	0.000000	1.723255	1.907067	-0.012529	0.00	0	
1746201600000	cbBTC,USDC	0.05168056,5123.50	10171.96	171.96	1.719619	26.30	8.267860	10159.65	10159.65	12.310946	0.000000	0.000000	1.723255	1.907067	-0.012971	0.00	0	
1746205200000	cbBTC,USDC	0.05168056,5123.50	10170.15	170.15	1.701494	26.07	8.505256	10157.65	10157.65	12.497709	0.000000	0.000000	1.723255	1.907067	-0.012653	0.00	0	
1746208800000	cbBTC,USDC	0.05168056,5123.50	10161.77	161.77	1.617661	25.71	8.842056	10149.15	10149.15	12.619131	0.000000	0.000000	1.723255	1.907067	-0.011344	0.00	0	
1746212400000	cbBTC,USDC	0.05168056,5123.50	10148.70	148.70	1.487015	25.45	9.341717	10135.92	10135.92	12.783769	0.000000	0.000000	1.723255	1.907067	-0.009446	0.00	0	
1746216000000	cbBTC,USDC	0.05168056,5123.50	10153.55	153.55	1.535530	25.10	9.332766	10140.66	10140.66	12.894867	0.000000	0.000000	1.723255	1.907067	-0.010107	0.00	0	
1746219600000	cbBTC,USDC	0.05168056,5123.50	10138.70	138.70	1.387018	24.69	9.781858	10125.74	10125.74	12.966056	0.000000	0.000000	1.723255	1.907067	-0.008100	0.00	0	
1746223200000	cbBTC,USDC	0.05168056,5123.50	10133.39	133.39	1.333866	24.26	9.970111	10120.37	10120.37	13.018379	0.000000	0.000000	1.723255	1.907067	-0.007432	0.00	0	
1746226800000	cbBTC,USDC	0.05168056,5123.50	10143.44	143.44	1.434382	24.02	9.860917	10130.28	10130.28	13.160148	0.000000	0.000000	1.723255	1.907067	-0.008688	0.00	0	
1746230400000	cbBTC,USDC	0.05168056,5123.50	10134.73	134.73	1.347250	23.59	10.119881	10121.53	10121.53	13.197507	0.000000	0.000000	1.723255	1.907067	-0.007574	0.00	0	
1746234000000	cbBTC,USDC	0.05168056,5123.50	10125.05	125.05	1.250544	23.12	10.365733	10111.86	10111.86	13.198432	0.000000	0.000000	1.723255	1.907067	-0.006429	0.00	0	
1746237600000	cbBTC,USDC	0.05168056,5123.50	10128.58	128.58	1.285799	22.79	10.350548	10115.31	10115.31	13.270699	0.000000	0.000000	1.723255	1.907067	-0.006827	0.00	0	
1746241200000	cbBTC,USDC	0.05168056,5123.50	10119.74	119.74	1.197374	22.42	10.612714	10106.43	10106.43	13.307989	0.000000	0.000000	1.723255	1.907067	-0.005826	0.00	0	
1746244800000	cbBTC,USDC	0.05168056,5123.50	10127.20	127.20	1.272031	22.12	10.501381	10113.82	10113.82	13.383800	0.000000	0.000000	1.723255	1.907067	-0.006654	0.00	0	
1746248400000	cbBTC,USDC	0.05168056,5123.50	10123.90	123.90	1.239014	21.76	10.616117	10110.49	10110.49	13.414155	0.000000	0.000000	1.723255	1.907067	-0.006274	0.00	0	
1746252000000	cbBTC,USDC	0.05168056,5123.50	10109.49	109.49	1.094862	21.39	10.998079	10096.06	10096.06	13.430641	0.000000	0.000000	1.723255	1.907067	-0.004756	0.00	0	
1746255600000	cbBTC,USDC	0.05168056,5123.50	10117.91	117.91	1.179069	21.16	10.881361	10104.38	10104.38	13.524789	0.000000	0.000000	1.723255	1.907067	-0.005607	0.00	0	
1746259200000	cbBTC,USDC	0.05168056,5123.50	10116.88	116.88	1.168802	20.91	10.991729	10103.27	10103.27	13.607072	0.000000	0.000000	1.723255	1.907067	-0.005489	0.00	0	
1746262800000	cbBTC,USDC	0.05168056,5123.50	10110.83	110.83	1.108339	20.60	11.180238	10097.19	10097.19	13.641587	0.000000	0.000000	1.723255	1.907067	-0.004868	0.00	0	
1746266400000	cbBTC,USDC	0.05168056,5123.50	10094.92	94.92	0.949184	20.29	11.605724	10081.25	10081.25	13.663468	0.000000	0.000000	1.723255	1.907067	-0.003413	0.00	0	
1746270000000	cbBTC,USDC	0.05168056,5123.50	10096.85	96.85	0.968483	20.06	11.637585	10083.11	10083.11	13.742207	0.000000	0.000000	1.723255	1.907067	-0.003569	0.00	0	
1746273600000	cbBTC,USDC	0.05168056,5123.50	10106.02	106.02	1.060193	19.85	11.487963	10092.20	10092.20	13.822795	0.000000	0.000000	1.723255	1.907067	-0.004385	0.00	0	
